Title ,TRANCHE,CG4:SCORE,CG3:STERIC,CG3:CLASH,CG3:Pro Desolve,CG3:Lig Desolve,CG3: Lig Desolv HB,CG4:HB,PSA,XLogP,N formal charges,HBA,HBD,Lipinski HBD,Max_ring_size,MW,N_ring_systems,N_rot_bonds,Formal Charge,
ZINC000915790101,EHED,-5.53276,-9.535818,0.288226,4.204735,1.254346,-0.916491,-0.827758,65.96,5.07,0,2,2,1,6,334.48,2,10,0,
ZINC000073717826,EHED,-5.466444,-8.887309,0.309788,3.427313,2.70383,-2.289867,-0.730199,61.96,5.13,0,2,2,2,6,342.39,3,3,0,
ZINC000746600174,EHED,-5.37805,-8.898114,0.210939,3.427804,1.017185,-0.765767,-0.370096,56.73,5.07,0,2,2,1,6,346.86,3,3,0,
ZINC000735970678,EHED,-5.32001,-7.502144,0.181836,1.922742,2.709503,-1.319813,-1.312133,54.88,5.02,0,2,2,2,6,335.46,2,6,0,
ZINC000815081351,EHED,-5.308525,-9.034344,0.359826,3.836302,2.786558,-0.727724,-2.529144,85.83,5.03,0,3,3,2,6,343.47,2,11,0,
ZINC000754269640,EHED,-5.178338,-8.764644,0.246795,3.234316,1.799428,-1.286669,-0.407564,56.73,5.07,0,2,2,1,6,346.86,3,3,0,
ZINC000749168259,EHED,-5.153086,-8.382199,0.321109,3.274544,2.699322,-1.739987,-1.325875,70.56,5.15,0,3,2,2,6,329.44,2,10,0,
ZINC000814421884,EHED,-4.95191,-7.257853,0.326737,3.266731,1.37912,-0.624313,-2.042332,58.2,5.01,0,2,2,2,6,348.44,2,6,0,
ZINC000815081350,EHED,-4.799343,-6.965387,0.303353,2.629063,1.623166,-1.370322,-1.019216,85.83,5.03,0,3,3,2,6,343.47,2,11,0,
ZINC000798972159,EHED,-4.74993,-7.580431,0.26904,3.311578,0.690102,-0.543752,-0.896468,72.94,5.18,0,2,3,2,6,344.41,3,4,0,
ZINC000812414052,EIAD,-9.138257,-8.440218,0.252418,3.06419,2.998318,-4.009128,-3.003837,67.01,5.03,0,3,2,2,6,341.79,3,6,0,
ZINC000881466620,EIAD,-8.987299,-8.197635,0.193623,3.049012,3.292554,-4.300042,-3.024812,67.01,5.19,0,2,2,2,6,329.44,2,10,0,
ZINC000812412913,EIAD,-8.892576,-8.025888,0.19116,3.029695,2.998699,-4.434291,-2.651951,67.01,5.03,0,3,2,2,6,341.79,3,6,0,
ZINC000812410689,EIAD,-8.882627,-8.909235,0.240575,2.791014,2.997621,-3.520643,-2.48196,67.01,5.03,0,3,2,2,6,341.79,3,6,0,
ZINC000580479474,EIAD,-8.720039,-8.617304,0.202765,2.931174,2.410626,-3.16471,-2.482591,54.12,5.12,0,1,2,2,6,328.45,2,7,0,
ZINC000190234697,EIAD,-8.653394,-10.383597,0.241533,2.79554,2.093266,-1.806011,-1.594125,50.36,5.04,0,1,2,2,6,344.72,2,6,0,
ZINC000463673661,EIAD,-8.645545,-7.863029,0.18311,2.51045,3.295749,-4.00909,-2.762735,67.01,5.02,0,2,2,2,6,329.44,2,8,0,
ZINC000596779365,EIAD,-8.577908,-7.670112,0.170848,2.775483,2.998725,-4.188019,-2.664833,57.78,5.12,0,2,2,2,6,333.43,3,7,0,
ZINC000812412912,EIAD,-8.533985,-7.827522,0.190518,2.387039,2.999046,-3.831104,-2.451964,67.01,5.03,0,3,2,2,6,341.79,3,6,0,
ZINC000812415061,EIAD,-8.474489,-7.990809,0.243286,3.273524,2.990188,-3.848611,-3.142067,67.01,5.05,0,3,2,2,6,347.82,3,6,0,
ZINC000861575015,EIAD,-8.443398,-6.710931,0.256489,2.347867,3.303504,-4.87095,-2.769377,57.78,5.12,0,2,2,2,5,346.28,2,8,0,
ZINC000622752590,EIAD,-8.430222,-8.252315,0.244377,2.874817,3.273537,-4.13005,-2.440588,57.78,5,0,2,2,2,6,349.83,3,5,0,
